key,component,project,rule,status,resolution,severity,message,line,hash,author,effort,creation_date,update_date,jira_issue_key,start_line,end_line,start_offset,end_offset,type,organization
AXbwd5TLcVuveqdRQAwc,apache_struts:core/src/main/java/com/opensymphony/xwork2/util/reflection/ReflectionContextState.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Boolean""; it is deprecated.",158,aad5343381cfeb8ef12b0b1c9b5a2e28,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,158,158,28,35,CODE_SMELL,apache
AXbwd5rFcVuveqdRQAwn,apache_struts:core/src/main/java/org/apache/struts2/config/StrutsJavaConfigurationProvider.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",103,627e94af0da77186bc803bddb67ecfa5,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,103,103,80,91,CODE_SMELL,apache
AXbwd5p8cVuveqdRQAwl,apache_struts:core/src/main/java/org/apache/struts2/dispatcher/Dispatcher.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",450,55facd1fd7b9bba59954b9f377d39013,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,450,450,83,94,CODE_SMELL,apache
AXbwd5p8cVuveqdRQAwm,apache_struts:core/src/main/java/org/apache/struts2/dispatcher/Dispatcher.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",474,ec12800ddea9adde54b9300da4383acc,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,474,474,77,88,CODE_SMELL,apache
AXbwd56kcVuveqdRQAwo,apache_struts:core/src/main/java/org/apache/struts2/views/xslt/AdapterFactory.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",250,153b2590c306f6da8179f6b471de94c0,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,250,250,65,76,CODE_SMELL,apache
AXbwd6_KcVuveqdRQAy5,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/JSPLoader.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""newInstance""; it is deprecated.",121,98fa60e7b71eb1c7473f0bedbb3b4734,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,121,121,42,53,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyg,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""divide""; it is deprecated.",53,7e436cba555af20595af02a746fa1fd5,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,53,53,39,45,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyh,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""ROUND_HALF_UP""; it is deprecated.",54,6de314d8122b6886462b75e6e3fcc57f,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,54,54,31,44,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyi,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""Double""; it is deprecated.",62,e80fb0e4601d5499e317816d10f6df28,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,62,62,23,29,CODE_SMELL,apache
AXbwd6-AcVuveqdRQAyj,apache_struts:plugins/embeddedjsp/src/main/java/org/apache/struts2/el/lang/ELArithmetic.java,apache_struts,java:S1874,OPEN,,MINOR,"Remove this use of ""divide""; it is deprecated.",91,7520075cd2f9a16f5d9dcfcd688bdab2,,15min,2021-01-11T08:57:39+0100,2021-01-11T08:57:39+0100,,91,91,55,61,CODE_SMELL,apache
